source_url,target_url
/Birmingham-AL,/mattress-removal/alabama/birmingham/
/Birmingham-AL/,/mattress-removal/alabama/birmingham/
/sioux-city-ia,/mattress-removal/iowa/sioux-city/
/sioux-city-ia/,/mattress-removal/iowa/sioux-city/
/Honolulu-HI,/mattress-removal/hawaii/honolulu/
/Honolulu-HI/,/mattress-removal/hawaii/honolulu/
/saint-petersburg-fl,/mattress-removal/florida/tampa/st-petersburg/
/saint-petersburg-fl/,/mattress-removal/florida/tampa/st-petersburg/
/ann-arbor-mi,/mattress-removal/michigan/ann-arbor/
/ann-arbor-mi/,/mattress-removal/michigan/ann-arbor/
/tupelo-ms,/mattress-removal/mississippi/tupelo/
/tupelo-ms/,/mattress-removal/mississippi/tupelo/
/Philadelphia-PA,/mattress-removal/pennsylvania/philadelphia/
/Philadelphia-PA/,/mattress-removal/pennsylvania/philadelphia/
/jacksonville-fl,/mattress-removal/florida/jacksonville/
/jacksonville-fl/,/mattress-removal/florida/jacksonville/
/eugene-or,/mattress-removal/oregon/eugene/
/eugene-or/,/mattress-removal/oregon/eugene/
/Green-Bay-WI,/mattress-removal/wisconsin/green-bay/
/Green-Bay-WI/,/mattress-removal/wisconsin/green-bay/
/chicago-il,/mattress-removal/illinois/chicago/
/Dayton-OH,/mattress-removal/ohio/dayton/
/Dayton-OH/,/mattress-removal/ohio/dayton/
/eden-prairie-mn,/mattress-removal/minnesota/minneapolis/eden-prairie/
/eden-prairie-mn/,/mattress-removal/minnesota/minneapolis/eden-prairie/
/melbourne-fl,/mattress-removal/florida/palm-bay/melbourne/
/melbourne-fl/,/mattress-removal/florida/palm-bay/melbourne/
/waterloo-ia,/mattress-removal/iowa/waterloo/
/waterloo-ia/,/mattress-removal/iowa/waterloo/
/Raleigh-NC,/mattress-removal/north-carolina/raleigh/
/Raleigh-NC/,/mattress-removal/north-carolina/raleigh/
/london-ca,/mattress-removal/california/london/
/london-ca/,/mattress-removal/california/london/
/mount-pleasant-sc,/mattress-removal/south-carolina/charleston/mount-pleasant/
/mount-pleasant-sc/,/mattress-removal/south-carolina/charleston/mount-pleasant/
/sacramento-ca,/mattress-removal/california/sacramento/
/sacramento-ca/,/mattress-removal/california/sacramento/
/tulare-ca,/mattress-removal/california/tulare/
/tulare-ca/,/mattress-removal/california/tulare/
/roseville-ca,/mattress-removal/california/sacramento/roseville/
/roseville-ca/,/mattress-removal/california/sacramento/roseville/
/boulder-co,/mattress-removal/colorado/boulder/
/lawrenceville-ga,/mattress-removal/georgia/atlanta/lawrenceville/
/lawrenceville-ga/,/mattress-removal/georgia/atlanta/lawrenceville/
/rockford-il,/mattress-removal/illinois/rockford/
/rockford-il/,/mattress-removal/illinois/rockford/
/florence-sc,/mattress-removal/south-carolina/florence/
/florence-sc/,/mattress-removal/south-carolina/florence/
/Kalamazoo-MI,/mattress-removal/michigan/kalamazoo/
/Kalamazoo-MI/,/mattress-removal/michigan/kalamazoo/
/colorado-springs-co,/mattress-removal/colorado/colorado-springs/
/colorado-springs-co/,/mattress-removal/colorado/colorado-springs/
/roswell-ga,/mattress-removal/georgia/atlanta/roswell/
/roswell-ga/,/mattress-removal/georgia/atlanta/roswell/
/rochester-mn,/mattress-removal/minnesota/rochester/
/rochester-mn/,/mattress-removal/minnesota/rochester/
/owensboro-ky,/mattress-removal/kentucky/owensboro/
/owensboro-ky/,/mattress-removal/kentucky/owensboro/
/cleveland-tn,/mattress-removal/tennessee/cleveland/
/cleveland-tn/,/mattress-removal/tennessee/cleveland/
/saginaw-mi,/mattress-removal/michigan/saginaw/
/saginaw-mi/,/mattress-removal/michigan/saginaw/
/gainesville-fl,/mattress-removal/florida/gainesville/
/gainesville-fl/,/mattress-removal/florida/gainesville/
/santa-rosa-beach-fl,/mattress-removal/florida/santa-rosa-beach/
/santa-rosa-beach-fl/,/mattress-removal/florida/santa-rosa-beach/
/fort-collins-co,/mattress-removal/colorado/fort-collins/
/fort-collins-co/,/mattress-removal/colorado/fort-collins/
/sheboygan-wi,/mattress-removal/wisconsin/sheboygan/
/sheboygan-wi/,/mattress-removal/wisconsin/sheboygan/
/rapid-city-sd,/mattress-removal/south-dakota/rapid-city/
/rapid-city-sd/,/mattress-removal/south-dakota/rapid-city/
/bozeman-mt,/mattress-removal/montana/bozeman/
/bozeman-mt/,/mattress-removal/montana/bozeman/
/temple-tx,/mattress-removal/texas/temple/
/temple-tx/,/mattress-removal/texas/temple/
/cedar-rapids-ia,/mattress-removal/iowa/cedar-rapids/
/cedar-rapids-ia/,/mattress-removal/iowa/cedar-rapids/
/lakewood-wa,/mattress-removal/washington/tacoma/lakewood/
/lakewood-wa/,/mattress-removal/washington/tacoma/lakewood/
/Long-Beach-CA,/mattress-removal/california/los-angeles/long-beach/
/Long-Beach-CA/,/mattress-removal/california/los-angeles/long-beach/
/atascadero-ca,/mattress-removal/california/atascadero/
/atascadero-ca/,/mattress-removal/california/atascadero/
/johns-creek-ga,/mattress-removal/georgia/atlanta/johns-creek/
/johns-creek-ga/,/mattress-removal/georgia/atlanta/johns-creek/
/Trenton-NJ,/mattress-removal/new-jersey/trenton/
/Trenton-NJ/,/mattress-removal/new-jersey/trenton/
/brooklyn-park-mn,/mattress-removal/minnesota/minneapolis/brooklyn-park/
/brooklyn-park-mn/,/mattress-removal/minnesota/minneapolis/brooklyn-park/
/salisbury-md,/mattress-removal/maryland/salisbury/
/salisbury-md/,/mattress-removal/maryland/salisbury/
/fall-river-ma,/mattress-removal/massachusetts/fall-river/
/fall-river-ma/,/mattress-removal/massachusetts/fall-river/
/renton-wa,/mattress-removal/washington/seattle/renton/
/renton-wa/,/mattress-removal/washington/seattle/renton/
/Bethlehem-PA,/mattress-removal/pennsylvania/allentown/bethlehem/
/Bethlehem-PA/,/mattress-removal/pennsylvania/allentown/bethlehem/
/columbia-sc,/mattress-removal/south-carolina/columbia/
/columbia-sc/,/mattress-removal/south-carolina/columbia/
/Milwaukee-WI,/mattress-removal/wisconsin/milwaukee/
/Milwaukee-WI/,/mattress-removal/wisconsin/milwaukee/
/Des-Moines-IA,/mattress-removal/iowa/des-moines/
/Des-Moines-IA/,/mattress-removal/iowa/des-moines/
